key_row,regiontype,regionname,statename,home_value,home_value_rounded,home_value_change_mm,home_value_change_yy,2016_median_home_value,2017_median_home_value,2018_median_home_value,2019_median_home_value,2020_median_home_value,2021_median_home_value,2022_median_home_value,2023_median_home_value,2024_median_home_value,2025_median_home_value,date,forecastyoypctchange,top_tier,bottom_tier,sale_price,listing_price,current_days_to_pending,dtp_month,days_to_pending,inventory,clean_regionname,zestimate_accuracy,zillow_on_market_median_error,zillow_on_market_properties,zillow_on_market_within_5,zillow_on_market_within_10,zillow_on_market_within_20,zillow_off_market_median_error,zillow_off_market_properties,zillow_off_market_within_5,zillow_off_market_within_10,zillow_off_market_within_20,home_value_one_bed,home_value_two_bed,home_value_three_bed,home_value_four_bed,home_value_five_bed
united_states,country,United States,US,357138.13,357000.00,0.13,2.58,200496.41,212598.43,226184.47,237358.06,249785.94,292541.79,338484.54,341286.49,353539.80,356912.24,"February 28, 2025",0.80,685642.98,187532.38,350000.00,388299.00,33.00,February 25,21.25,1023739.00,united states,"March 2, 2025",1.94,1700000.00,82.51,94.80,98.65,7.06,115700000.00,38.46,62.41,82.94,246006.00,270168.15,336162.85,496786.95,702747.66
alabama,state,Alabama,AL,225538.70,226000.00,0.24,2.61,136464.35,139919.03,145947.57,154120.72,165517.88,190253.93,215791.04,219992.90,223502.57,225263.99,"February 28, 2025",0.25,399367.40,113667.65,226340.31,264789.80,43.44,February 25,29.93,909.75,alabama,"March 2, 2025",1.95,31400.00,81.55,93.81,97.99,8.10,1800000.00,34.93,57.00,77.16,170152.64,149872.97,225053.15,360819.33,521783.81
alaska,state,Alaska,AK,368985.28,369000.00,0.27,3.07,279334.05,280990.89,285715.81,305028.37,313501.00,329026.90,355397.26,356440.10,362181.63,368488.54,"February 28, 2025",-2.58,534030.46,236137.01,,402087.50,25.00,February 25,16.88,239.00,alaska,"March 2, 2025",,4800.00,,,,,238000.00,,,,176722.02,261252.18,381973.71,494256.24,595518.92
arizona,state,Arizona,AZ,426236.67,426000.00,-0.28,-0.23,217365.09,232314.75,249948.68,266569.67,290469.36,363882.04,439971.82,419110.98,429433.99,426840.32,"February 28, 2025",1.98,681513.58,305374.86,393972.00,418909.91,45.18,February 25,35.13,3000.09,arizona,"March 2, 2025",1.41,53500.00,90.58,97.51,99.38,5.68,2600000.00,45.54,70.29,88.08,221271.08,339400.95,409292.33,512710.16,712934.89
arkansas,state,Arkansas,AR,207283.59,207000.00,0.30,3.85,129022.14,133282.18,138673.83,144487.74,151669.70,172704.86,194336.64,198551.55,204416.52,206972.07,"February 28, 2025",-1.15,365343.34,101003.22,202645.45,225678.90,52.80,February 25,39.52,499.60,arkansas,"March 2, 2025",2.00,16600.00,80.65,93.09,97.57,7.97,1100000.00,35.54,57.06,76.51,128848.42,152594.16,231977.93,363844.70,526181.99
california,state,California,CA,784840.24,785000.00,-0.18,2.95,447436.22,483378.55,527297.53,539930.73,561041.37,662012.13,748686.37,731745.19,775755.75,785541.65,"February 28, 2025",-0.57,1444485.27,475324.09,624877.67,663993.00,30.50,February 25,21.88,1995.26,california,"March 2, 2025",2.00,108500.00,81.43,94.38,98.63,6.32,10700000.00,41.85,66.50,85.85,492389.18,635477.21,748517.07,946303.31,1281787.18
colorado,state,Colorado,CO,546004.16,546000.00,-0.20,0.92,318685.45,348107.04,373626.93,390752.44,409642.40,481968.36,549573.71,537365.71,543598.93,546538.11,"February 28, 2025",1.08,865201.38,370993.64,705945.83,758010.19,44.23,February 25,31.79,1265.06,colorado,"March 2, 2025",1.34,41500.00,91.27,97.73,99.38,5.30,2200000.00,47.86,72.71,89.84,316029.94,409681.82,521079.35,652764.18,789155.00
connecticut,state,Connecticut,CT,407391.26,407000.00,0.30,5.76,237574.98,243604.77,248729.05,252141.70,260913.92,308012.98,343553.98,361062.80,397774.46,406780.79,"February 28, 2025",3.64,687299.44,280681.18,416590.00,452300.40,14.80,February 25,10.88,943.40,connecticut,"March 2, 2025",3.16,9800.00,68.29,91.11,98.81,8.15,1300000.00,32.89,58.27,83.60,199745.78,298886.67,395621.87,572899.97,927640.99
delaware,state,Delaware,DE,383514.68,384000.00,0.12,2.64,241103.33,250986.08,258393.00,265412.20,271349.70,318751.03,356405.55,364811.42,377280.44,383276.52,"February 28, 2025",1.90,586753.13,256044.61,330000.00,374133.00,26.00,February 25,17.83,427.00,delaware,"March 2, 2025",2.53,4500.00,70.36,83.93,94.77,8.98,434300.00,30.74,53.56,78.53,176431.65,256466.22,340996.49,484867.32,662655.59
florida,state,Florida,FL,385850.72,386000.00,-0.28,-1.85,195728.56,211512.07,227631.81,239128.83,251510.13,295623.66,379956.46,385199.80,392665.38,386386.27,"February 28, 2025",1.59,679287.92,242332.46,373612.52,410097.21,53.00,February 25,46.19,6364.83,florida,"March 2, 2025",1.95,283000.00,84.73,95.36,98.69,6.85,9400000.00,39.13,64.03,85.21,194446.42,282193.21,386171.17,513856.07,782324.36
georgia,state,Georgia,GA,326316.02,326000.00,-0.12,1.03,161509.42,171472.03,186365.71,200240.59,212706.53,255391.05,312035.09,315252.50,327365.27,326515.90,"February 28, 2025",2.27,547008.98,186043.49,271436.14,287157.59,43.08,February 25,31.35,1094.51,georgia,"March 2, 2025",1.62,71100.00,86.40,95.65,98.61,6.75,3800000.00,39.86,63.81,83.22,222928.75,224145.99,290440.42,416895.60,597052.30
hawaii,state,Hawaii,HI,840256.07,840000.00,-0.17,1.19,535863.84,567763.05,598378.57,607946.91,619713.39,702242.50,834909.92,826960.61,842991.15,840974.62,"February 28, 2025",0.78,1365699.26,471419.69,964875.00,949041.50,47.50,February 25,36.92,1620.75,hawaii,"March 2, 2025",1.86,8700.00,83.67,95.17,98.90,7.83,525000.00,35.11,59.46,82.63,454252.40,610936.47,914358.78,1156216.17,1308636.04
idaho,state,Idaho,ID,456464.18,456000.00,0.19,2.81,200018.20,217940.25,242856.37,271428.08,305236.70,422490.03,470358.64,441458.39,449445.73,456024.68,"February 28, 2025",2.55,715375.45,320575.99,446260.71,530684.69,52.67,February 25,40.03,406.77,idaho,"March 2, 2025",1.40,15900.00,89.82,97.11,99.20,5.68,826100.00,45.26,70.74,89.18,321872.53,346377.48,437756.36,519778.78,597446.54
illinois,state,Illinois,IL,267228.58,267000.00,0.41,5.70,169306.62,176830.65,185250.59,190033.31,194981.14,218733.88,238812.34,244248.04,260246.34,266684.85,"February 28, 2025",-0.72,462642.80,137575.49,157430.56,173066.65,22.60,February 25,15.11,930.62,illinois,"March 2, 2025",2.21,45300.00,80.30,94.85,98.74,8.18,4300000.00,33.85,57.38,79.92,183547.01,214983.59,270681.09,406295.76,534738.60
indiana,state,Indiana,IN,240713.83,241000.00,0.49,5.31,125774.50,132801.96,142633.33,152357.65,163001.28,190732.05,217575.30,223836.56,234602.60,240124.79,"February 28, 2025",2.46,394330.10,143915.90,200178.79,228807.44,33.05,February 25,23.60,380.89,indiana,"March 2, 2025",1.92,26500.00,83.04,94.78,98.68,7.42,2500000.00,36.61,60.67,81.40,114713.63,153567.12,235229.45,341061.30,464541.87
iowa,state,Iowa,IA,216890.72,217000.00,0.51,5.11,136264.75,140861.44,146885.10,154420.29,160280.88,177677.50,198285.77,203503.76,211640.09,216344.91,"February 28, 2025",-0.29,377274.31,119677.72,211081.82,220709.40,43.54,February 25,31.17,372.95,iowa,"March 2, 2025",1.85,14200.00,83.34,95.17,98.74,7.82,1300000.00,35.37,58.90,80.66,107088.39,149263.62,223327.12,308967.68,422428.73
kansas,state,Kansas,KS,227853.94,228000.00,0.21,6.54,128429.92,133296.61,140036.60,146625.42,156764.09,178920.03,202089.61,210068.24,220646.72,227619.83,"February 28, 2025",1.15,414404.66,107503.55,226625.20,210967.58,32.77,February 25,28.15,197.47,kansas,"March 2, 2025",2.17,10600.00,80.51,94.88,98.92,7.47,1000000.00,36.37,60.81,82.11,77484.66,121025.60,222261.20,358688.34,427945.20
kentucky,state,Kentucky,KY,211464.60,211000.00,1.08,6.76,116494.50,122578.76,130206.25,137465.99,145979.53,167991.27,187294.39,194455.86,203573.34,210335.93,"February 28, 2025",2.72,353744.00,113518.31,230441.67,263979.05,47.07,February 25,29.96,446.05,kentucky,"March 2, 2025",1.99,17300.00,82.29,94.80,98.52,8.13,1600000.00,34.44,57.28,78.45,117246.60,157049.11,233551.93,353008.66,478531.53
louisiana,state,Louisiana,LA,196111.64,196000.00,0.32,0.64,168194.35,167322.70,169591.91,176142.45,183000.29,194232.30,204152.40,200389.42,195123.34,195802.04,"February 28, 2025",-4.71,328891.22,100808.12,210122.33,233060.44,58.11,February 25,41.52,980.06,louisiana,"March 2, 2025",2.05,21900.00,82.03,94.11,98.01,9.02,1500000.00,33.00,53.52,74.34,122731.79,128915.01,207298.56,314299.04,437755.20
maine,state,Maine,ME,393890.14,394000.00,0.21,3.38,190866.37,204073.00,217447.87,227138.77,245320.76,304528.71,350402.43,367047.43,388871.41,393482.09,"February 28, 2025",4.47,650262.57,237973.03,342250.00,390866.75,26.00,February 25,14.92,484.75,maine,"March 2, 2025",2.73,6400.00,73.01,91.82,98.00,10.38,506400.00,26.92,48.74,73.91,265381.40,349147.99,416608.68,511281.18,625435.74
maryland,state,Maryland,MD,419949.22,420000.00,0.21,3.61,278833.79,289243.60,299430.59,310448.65,321829.13,367247.11,390710.36,400403.61,413088.57,419509.21,"February 28, 2025",0.64,680646.57,258467.07,357285.71,364632.86,29.57,February 25,20.64,1270.29,maryland,"March 2, 2025",1.82,20100.00,84.17,95.51,98.71,5.87,2100000.00,44.75,68.51,86.35,213591.47,279851.70,377180.12,550933.77,731156.84
massachusetts,state,Massachusetts,MA,628654.36,629000.00,0.24,5.06,357965.37,382286.43,406899.62,417747.96,434364.95,507334.89,555570.57,571038.73,614983.59,627889.84,"February 28, 2025",2.82,1023299.13,413918.36,499230.00,793463.83,24.80,February 25,16.00,1524.00,massachusetts,"March 2, 2025",2.63,14400.00,75.14,94.06,99.21,7.16,2300000.00,37.20,63.25,85.73,415886.70,493162.28,602836.52,821657.18,1144909.51
michigan,state,Michigan,MI,242275.59,242000.00,0.41,4.97,132503.02,142466.90,154001.93,163860.49,172000.80,202491.21,221120.51,225463.49,237502.12,241784.38,"February 28, 2025",0.87,416154.98,130097.39,218784.78,240081.74,33.22,February 25,19.04,674.87,michigan,"March 2, 2025",2.48,30200.00,76.55,93.20,98.34,8.81,3800000.00,31.69,54.57,77.45,162336.90,184270.45,247430.03,383248.31,466865.71
minnesota,state,Minnesota,MN,332386.20,332000.00,0.32,3.13,204667.42,219734.57,234431.20,246517.50,258276.33,294939.85,318161.45,320169.86,325379.83,331860.62,"February 28, 2025",0.73,512128.51,211390.32,281424.80,295949.25,46.54,February 25,33.20,515.80,minnesota,"March 2, 2025",1.92,23400.00,84.54,96.22,99.10,6.53,2100000.00,40.46,65.56,85.85,173659.01,258814.27,327772.26,416824.86,537307.19
mississippi,state,Mississippi,MS,179182.13,179000.00,0.60,3.85,125347.19,126850.41,130218.20,135173.28,140160.13,157828.68,173908.03,172637.61,175171.22,178644.21,"February 28, 2025",-2.26,313223.00,85235.10,206205.00,232441.11,48.00,February 25,38.11,371.26,mississippi,"March 2, 2025",1.97,11000.00,81.79,93.99,98.07,7.18,872100.00,38.84,60.67,79.37,102043.28,115195.88,191541.31,314663.30,423256.98
missouri,state,Missouri,MO,247098.73,247000.00,0.32,4.24,137820.69,145623.67,154022.46,161800.75,170508.97,200527.60,226672.59,232539.13,241291.76,246703.44,"February 28, 2025",1.22,415298.73,137735.07,234389.29,218770.20,35.75,February 25,25.82,722.08,missouri,"March 2, 2025",2.23,27800.00,79.74,94.22,98.57,8.16,2300000.00,34.12,57.21,79.74,121077.42,158644.77,249035.19,383719.06,489157.59
montana,state,Montana,MT,452836.58,453000.00,0.28,3.55,223531.61,234110.18,248266.51,261131.65,279607.75,355900.59,430023.71,427566.28,443134.65,452195.52,"February 28, 2025",3.31,757913.39,270116.60,497347.86,553095.57,51.67,February 25,32.08,471.14,montana,"March 2, 2025",2.01,7000.00,82.35,94.24,98.47,8.12,457600.00,33.56,57.35,80.16,293831.73,346521.76,473419.40,532840.85,627294.07
nebraska,state,Nebraska,NE,260027.53,260000.00,0.33,3.88,146969.50,155225.65,164943.85,174038.97,183942.69,212940.31,236811.31,246005.71,254600.01,259596.81,"February 28, 2025",1.00,433290.72,153752.12,216832.50,263708.42,36.12,February 25,28.52,305.08,nebraska,"March 2, 2025",1.69,8100.00,85.86,95.87,98.89,6.60,680700.00,40.81,64.60,84.03,131160.33,183043.75,263145.55,365710.53,446298.52
nevada,state,Nevada,NV,443452.68,443000.00,0.14,4.74,223498.75,242709.94,277654.99,297709.72,306889.20,359785.90,434056.31,412765.95,433383.62,443135.19,"February 28, 2025",0.51,651385.50,321404.44,458284.29,488432.11,37.62,February 25,27.72,1440.11,nevada,"March 2, 2025",1.31,22100.00,91.42,97.70,99.40,4.53,1100000.00,53.65,77.67,91.33,205006.62,315421.74,426103.96,529047.95,681844.74
new_hampshire,state,New Hampshire,NH,480211.82,480000.00,0.22,6.03,233536.75,248659.08,265886.34,276729.69,294631.90,361846.23,416554.13,432411.58,467232.29,479696.33,"February 28, 2025",4.58,706393.81,329150.62,444716.50,451197.17,29.00,February 25,17.31,269.67,new hampshire,"March 2, 2025",2.52,4600.00,76.49,93.44,98.59,7.66,600500.00,35.24,60.22,82.96,251660.83,376996.57,500301.28,650201.64,732167.24
new_jersey,state,New Jersey,NJ,542608.50,543000.00,0.27,7.21,307575.80,317608.21,331165.34,344837.04,361014.60,415793.72,461402.26,483080.21,525193.50,541881.85,"February 28, 2025",4.20,869307.49,347119.92,369750.00,449890.50,31.25,February 25,23.77,684.50,new jersey,"March 2, 2025",2.96,29200.00,70.45,91.96,98.84,7.55,3000000.00,36.07,61.02,84.20,303174.41,392146.46,516034.46,706670.43,1083031.28
new_mexico,state,New Mexico,NM,303012.98,303000.00,0.33,3.80,170514.48,174788.28,180843.23,191504.21,204349.71,240187.26,277036.12,284672.58,297194.99,302518.56,"February 28, 2025",-0.91,479807.30,183575.67,291622.00,335212.88,41.67,February 25,28.15,333.24,new mexico,"March 2, 2025",1.70,9500.00,86.08,95.87,98.94,6.43,722700.00,41.46,65.75,84.75,202806.05,250665.04,319296.64,413211.71,537313.61
new_york,state,New York,NY,481516.98,482000.00,0.24,6.45,285220.25,301666.93,320624.46,337718.00,352755.41,395602.86,431607.86,436148.19,466167.29,480934.78,"February 28, 2025",1.91,905719.87,222563.37,275836.11,277532.70,38.36,February 25,23.51,1563.11,new york,"March 2, 2025",3.22,55900.00,66.94,88.64,97.74,9.37,5500000.00,30.09,52.51,77.22,402791.62,328736.78,343021.73,541539.03,797881.32
north_carolina,state,North Carolina,NC,328100.93,328000.00,0.09,1.98,167384.96,177637.97,189755.16,201396.23,214620.03,257444.68,310134.83,314352.14,326948.82,327949.43,"February 28, 2025",2.55,565414.19,187624.68,305404.69,343444.84,37.93,February 25,27.12,856.41,north carolina,"March 2, 2025",1.56,73200.00,87.33,96.03,98.79,6.38,4100000.00,41.72,65.53,83.94,206785.24,220964.61,312722.58,483210.09,696208.78
north_dakota,state,North Dakota,ND,265401.51,265000.00,0.48,5.77,222655.22,219020.31,214807.98,217238.91,222973.33,235020.87,253448.32,253609.23,257281.13,264763.70,"February 28, 2025",-1.24,415311.68,145146.86,297000.00,299768.88,41.17,February 25,28.64,207.50,north dakota,"March 2, 2025",1.67,3100.00,86.05,95.74,98.67,6.78,226700.00,39.86,63.48,83.62,123680.13,190099.81,264757.92,333820.24,435267.35
ohio,state,Ohio,OH,228988.17,229000.00,0.53,6.06,124849.78,130925.31,139326.76,147891.79,156657.56,183530.35,203169.40,209241.28,222814.55,228387.06,"February 28, 2025",1.90,399814.28,130512.55,167374.43,217614.14,24.36,February 25,16.23,565.48,ohio,"March 2, 2025",2.36,43200.00,77.76,93.54,98.22,8.75,4200000.00,32.05,54.77,77.51,120052.19,156607.00,220214.48,353459.78,444926.13
oklahoma,state,Oklahoma,OK,204860.67,205000.00,0.30,3.65,120906.67,123707.72,128209.51,133648.43,141900.02,163736.96,187555.75,194214.71,200718.08,204558.97,"February 28, 2025",0.86,349085.79,107367.64,183145.83,214810.10,43.47,February 25,32.83,658.76,oklahoma,"March 2, 2025",1.88,25300.00,83.34,94.65,98.31,7.39,1400000.00,37.78,59.86,79.00,87685.34,105588.14,205337.70,329044.86,471528.22
oregon,state,Oregon,OR,494835.98,495000.00,0.03,1.88,291093.66,319253.15,341814.31,353860.66,371789.73,444578.44,492236.45,482492.59,488768.55,494765.76,"February 28, 2025",0.73,724408.83,350248.12,431792.00,485621.30,46.50,February 25,35.57,665.45,oregon,"March 2, 2025",1.59,23000.00,88.32,97.03,99.13,6.28,1600000.00,42.04,67.12,86.51,295302.29,374718.07,482227.58,631387.18,746680.95
pennsylvania,state,Pennsylvania,PA,266551.32,267000.00,0.34,4.28,160898.84,166884.20,175601.36,182524.20,193363.88,223358.73,243747.11,248609.23,261048.38,266103.76,"February 28, 2025",0.39,471120.83,145575.42,211348.92,234394.12,26.85,February 25,16.42,795.82,pennsylvania,"March 2, 2025",2.52,37000.00,75.53,92.77,98.26,9.39,4600000.00,30.19,52.31,75.61,171067.41,197382.86,258971.44,429925.93,499051.05
rhode_island,state,Rhode Island,RI,470369.20,470000.00,0.29,7.07,242052.94,260604.12,278707.75,287911.54,304071.46,362771.86,406097.83,421075.58,454369.91,469680.69,"February 28, 2025",2.50,747255.28,359602.75,450000.00,478267.00,15.00,February 25,11.58,2133.00,rhode island,"March 2, 2025",2.58,3900.00,76.11,94.25,99.02,7.09,392600.00,37.49,63.03,85.78,298139.20,388466.65,470884.47,633238.37,803478.60
south_carolina,state,South Carolina,SC,294556.86,295000.00,0.19,1.89,159671.28,167361.07,177219.27,186773.77,197775.17,230326.53,276833.90,283427.55,293421.05,294276.78,"February 28, 2025",0.78,525350.13,161491.41,297279.69,317838.67,39.46,February 25,30.77,1449.13,south carolina,"March 2, 2025",1.61,48900.00,87.62,96.30,98.86,6.85,2100000.00,39.57,63.51,83.20,194619.85,208177.68,290339.47,422510.08,566219.08
south_dakota,state,South Dakota,SD,302465.47,302000.00,0.35,3.88,175556.73,183277.36,191910.13,201532.48,212405.17,244979.13,286508.11,290226.77,296509.48,301943.54,"February 28, 2025",0.79,504102.43,172399.49,333250.00,342513.64,53.50,February 25,47.46,187.55,south dakota,"March 2, 2025",1.74,4800.00,85.11,95.59,98.96,7.53,310400.00,36.68,60.20,82.00,152143.39,228734.45,294933.25,360727.60,490924.72
tennessee,state,Tennessee,TN,316500.81,317000.00,0.20,2.42,156886.99,169027.17,181839.58,194530.81,209453.97,246927.58,297971.13,302782.21,314744.55,316187.58,"February 28, 2025",2.24,539978.05,175146.40,281312.32,342484.42,45.87,February 25,34.53,1021.85,tennessee,"March 2, 2025",1.80,50400.00,83.62,94.30,97.94,8.39,2700000.00,34.07,55.66,75.61,242679.90,232824.21,319707.19,474947.24,654450.20
texas,state,Texas,TX,299786.56,300000.00,-0.06,-0.22,177240.81,189091.39,200925.99,209503.92,219010.59,254853.20,304007.69,300804.61,301160.12,299872.96,"February 28, 2025",-1.50,522029.72,179424.92,269143.62,286196.87,63.36,February 25,50.54,1669.30,texas,"March 2, 2025",1.90,231800.00,84.41,95.11,98.57,6.37,10000000.00,41.50,66.60,86.27,147400.38,183059.74,275025.53,405154.02,622446.91
utah,state,Utah,UT,523712.05,524000.00,0.21,2.51,261100.85,283548.57,309799.14,333954.70,360155.86,452189.51,525018.02,506547.27,513597.34,523165.22,"February 28, 2025",2.20,775910.27,385942.16,586540.62,552945.78,45.22,February 25,36.77,1171.11,utah,"March 2, 2025",1.32,25300.00,91.77,98.04,99.55,5.17,1200000.00,48.77,74.98,92.05,330691.72,384104.56,475051.10,559470.95,697432.47
vermont,state,Vermont,VT,373947.19,374000.00,-0.29,0.04,224603.81,235324.87,244908.88,250859.79,262818.53,310058.37,353859.20,367076.20,378294.13,374485.51,"February 28, 2025",1.35,594935.90,237744.90,409250.00,491937.50,36.00,February 25,17.89,180.75,vermont,"March 2, 2025",2.66,2600.00,74.09,91.43,97.91,12.71,274700.00,23.74,42.35,66.38,237785.40,317682.66,410121.21,511101.28,582459.05
virginia,state,Virginia,VA,396355.65,396000.00,0.22,4.70,242346.11,251420.00,260707.33,270614.54,283273.65,325122.40,358541.90,368404.63,387927.44,395927.68,"February 28, 2025",1.42,728474.19,226284.25,289772.73,315579.42,24.73,February 25,16.39,923.92,virginia,"March 2, 2025",1.65,33300.00,86.26,96.49,99.07,5.62,3000000.00,45.96,70.31,87.08,274028.00,265192.91,350666.47,553952.98,820161.89
washington,state,Washington,WA,596514.46,597000.00,0.08,3.83,305550.90,339463.92,376361.86,393290.82,424085.34,516297.24,579450.89,564181.18,585366.02,596277.99,"February 28, 2025",0.82,1010319.70,394354.95,473557.50,513068.30,41.94,February 25,26.13,619.70,washington,"March 2, 2025",1.63,34400.00,86.84,96.46,99.18,5.98,2800000.00,43.52,68.77,87.49,378245.39,460200.31,577749.27,756385.17,904271.39
west_virginia,state,West Virginia,WV,164679.33,165000.00,0.59,7.17,106612.81,107597.16,111754.28,113911.59,117839.86,136156.13,148338.12,151391.99,159544.31,164195.36,"February 28, 2025",0.54,299215.38,83166.90,170022.22,195693.85,42.18,February 25,22.66,250.31,west virginia,"March 2, 2025",2.37,4600.00,76.31,92.23,97.43,10.33,632700.00,28.44,48.96,71.21,90698.03,104752.84,175542.54,260252.79,341273.41
wisconsin,state,Wisconsin,WI,304117.60,304000.00,0.45,6.22,166274.36,176023.70,187573.95,199305.43,210597.15,243275.99,267606.91,281699.49,295960.92,303437.07,"February 28, 2025",2.32,476991.56,190640.43,260118.42,296472.87,35.43,February 25,30.90,428.43,wisconsin,"March 2, 2025",2.52,19000.00,75.80,93.64,98.71,7.99,2200000.00,34.28,58.33,80.93,173561.89,230709.25,309674.78,391370.05,451509.51
wyoming,state,Wyoming,WY,353826.49,354000.00,0.53,5.97,229522.19,230310.03,233211.71,244409.45,258925.21,287234.66,320655.88,329085.01,338971.52,352894.75,"February 28, 2025",1.31,619301.07,228216.92,494085.67,495346.33,65.50,February 25,41.71,182.56,wyoming,"March 2, 2025",1.71,3300.00,85.06,95.81,98.93,8.09,247900.00,33.89,57.79,80.76,230176.31,260307.33,349373.53,405322.31,514466.16
new_york_ny,metro,"New York, NY",NY,679755.75,680000.00,0.19,6.27,432748.91,454957.33,476848.45,494161.20,508512.05,561104.07,608050.00,617477.96,660220.23,679116.00,"February 28, 2025",0.00,1095567.61,465987.22,667500.00,719333.00,37.00,February 25,28.50,32027.00,new york,"March 2, 2025",2.96,61900.00,70.39,91.69,98.68,7.79,5400000.00,35.20,59.76,83.65,418082.45,490756.79,657413.89,804611.81,1128409.93
los_angeles_ca,metro,"Los Angeles, CA",CA,971995.75,972000.00,-0.21,4.41,532788.34,586421.78,637417.13,652907.33,678447.84,785332.86,894284.87,880692.23,945567.50,973020.86,"February 28, 2025",0.40,1628015.32,687657.19,934500.00,1018000.00,24.00,February 25,18.42,18194.00,los angeles,"March 2, 2025",2.23,27200.00,79.22,94.12,98.83,6.50,3000000.00,40.82,66.10,87.03,535402.23,740881.95,937527.75,1209428.47,1775889.86
chicago_il,metro,"Chicago, IL",IL,324218.21,324000.00,0.41,5.52,206555.03,217440.99,228263.90,233372.11,238433.71,267683.11,290195.31,296900.80,316110.93,323557.04,"February 28, 2025",0.50,527749.22,207695.46,315000.00,323000.00,20.00,February 25,12.67,18690.00,chicago,"March 2, 2025",2.04,39100.00,82.64,95.62,98.97,7.13,3300000.00,37.63,62.86,84.80,197829.33,249130.38,312177.05,452096.23,606086.18
dallas_tx,metro,"Dallas, TX",TX,370383.51,370000.00,-0.21,-0.64,204034.62,225562.17,244308.04,251519.78,260381.43,306423.44,377107.89,371756.46,372792.96,370772.70,"February 28, 2025",-0.20,613632.08,254428.38,375000.00,413333.00,43.00,February 25,28.33,27544.00,dallas,"March 2, 2025",1.71,64500.00,87.56,96.36,98.99,5.55,2500000.00,46.21,72.22,89.83,165949.59,226294.50,314720.97,476817.24,711266.12
houston_tx,metro,"Houston, TX",TX,306236.35,306000.00,-0.05,0.28,195182.28,202359.81,210583.92,218751.15,225452.41,257917.56,306651.16,304719.82,307052.33,306309.31,"February 28, 2025",-0.40,509871.64,210766.28,324760.00,349963.00,46.00,February 25,31.58,27346.00,houston,"March 2, 2025",1.98,56800.00,84.07,94.92,98.51,6.20,2400000.00,42.30,68.09,88.09,130828.00,184536.69,264590.99,372005.23,572857.48
philadelphia_pa,metro,"Philadelphia, PA",PA,364089.10,364000.00,0.29,4.58,213439.72,222949.91,232499.36,241608.72,255317.71,294142.79,324227.19,334943.66,356267.88,363555.45,"February 28, 2025",1.60,591998.20,215719.84,321428.00,326967.00,17.00,February 25,11.67,11156.00,philadelphia,"March 2, 2025",2.58,17000.00,74.85,91.64,97.92,7.79,2100000.00,35.08,59.35,82.35,221761.75,283644.39,318068.39,542842.67,687363.25
washington_dc,metro,"Washington, DC",DC,575759.20,576000.00,0.20,4.38,384466.72,397773.16,412046.97,426083.67,444055.12,504657.61,535397.75,541188.43,564294.89,575192.57,"February 28, 2025",-0.30,943533.50,377934.17,550000.00,544667.00,13.00,February 25,9.83,9537.00,washington,"March 2, 2025",1.65,21100.00,86.87,97.21,99.39,4.88,2000000.00,51.03,76.62,92.11,322267.97,405278.82,518238.83,725828.93,960757.21
miami_fl,metro,"Miami, FL",FL,484835.80,485000.00,-0.15,0.63,241898.43,260927.79,279315.33,290958.10,304235.74,348981.84,437521.47,460570.42,487312.65,485205.58,"February 28, 2025",2.30,864630.44,274037.28,575000.00,499800.00,61.00,February 25,45.42,52143.00,miami,"March 2, 2025",2.16,69400.00,82.55,94.75,98.68,7.18,2400000.00,37.24,62.78,85.40,210968.50,326338.96,533287.93,729868.09,1203498.18
atlanta_ga,metro,"Atlanta, GA",GA,377979.29,378000.00,-0.22,0.10,189052.52,203647.85,221899.58,237113.36,249757.07,298875.70,368470.01,368812.72,381086.82,378392.74,"February 28, 2025",1.40,609928.61,259569.88,366750.00,374967.00,48.00,February 25,30.58,26433.00,atlanta,"March 2, 2025",1.54,43600.00,88.07,96.48,98.96,6.20,2200000.00,42.32,67.97,87.42,239473.52,266592.44,322063.98,443541.35,634606.22
boston_ma,metro,"Boston, MA",MA,698545.09,699000.00,0.23,4.78,409364.46,438460.17,467887.77,478798.60,497695.06,573243.11,620883.81,636130.37,685782.54,697743.56,"February 28, 2025",1.10,1097986.01,490256.10,690000.00,757900.00,13.00,February 25,10.25,5533.00,boston,"March 2, 2025",2.61,9600.00,75.24,94.08,99.30,6.85,1600000.00,38.42,65.01,87.24,449426.74,544384.45,673588.40,907673.72,1294354.78
san_francisco_ca,metro,"San Francisco, CA",CA,1155118.92,1155000.00,-0.11,2.80,785331.25,829992.77,929512.03,927729.39,950753.88,1098750.06,1196778.05,1114396.08,1155169.09,1155763.94,"February 28, 2025",-2.10,1910440.94,704258.33,1060000.00,898000.00,21.00,February 25,17.17,5743.00,san francisco,"March 2, 2025",3.41,6000.00,64.30,86.52,97.52,8.05,1300000.00,33.95,58.60,83.78,573766.29,854262.22,1156256.53,1542894.73,1989631.15
detroit_mi,metro,"Detroit, MI",MI,249923.84,250000.00,0.48,4.86,136636.51,148845.84,162432.90,173785.20,179970.96,210465.61,227572.17,231180.65,244667.03,249327.16,"February 28, 2025",0.90,429036.11,131257.57,210000.00,223300.00,20.00,February 25,12.50,10356.00,detroit,"March 2, 2025",2.48,11700.00,77.15,93.86,98.43,7.81,1500000.00,34.95,59.28,81.42,172901.45,187160.18,247269.36,430701.18,513570.92
