key_row,regiontype,regionname,statename,home_value,home_value_rounded,home_value_change_mm,home_value_change_yy,2016_median_home_value,2017_median_home_value,2018_median_home_value,2019_median_home_value,2020_median_home_value,2021_median_home_value,2022_median_home_value,2023_median_home_value,2024_median_home_value,2025_median_home_value,date,forecastyoypctchange,top_tier,bottom_tier,sale_price,listing_price,current_days_to_pending,dtp_month,days_to_pending,inventory,clean_regionname,zestimate_accuracy,zillow_on_market_median_error,zillow_on_market_properties,zillow_on_market_within_5,zillow_on_market_within_10,zillow_on_market_within_20,zillow_off_market_median_error,zillow_off_market_properties,zillow_off_market_within_5,zillow_off_market_within_10,zillow_off_market_within_20,home_value_one_bed,home_value_two_bed,home_value_three_bed,home_value_four_bed,home_value_five_bed
camden_ar,metro,"Camden, AR",AR,90206.24,90000.00,-1.19,-3.32,70942.20,72560.49,75372.94,78902.05,81729.26,91298.37,93608.22,95179.44,94281.99,90748.13,"February 28, 2025",-5.60,186787.40,38363.94,,159100.00,,February 25,,90.00,camden,"March 2, 2025",2.00,16600.00,80.65,93.09,97.57,7.97,1100000.00,35.54,57.06,76.51,128848.42,152594.16,140562.83,209797.92,526181.99
hastings_ne,metro,"Hastings, NE",NE,196270.93,196000.00,0.47,4.86,117144.37,120291.55,129027.35,135736.11,146668.19,163556.32,178076.08,184619.97,190565.41,195816.67,"February 28, 2025",0.30,337134.71,129477.67,,242917.00,42.00,February 25,38.50,89.00,hastings,"March 2, 2025",1.69,8100.00,85.86,95.87,98.89,6.60,680700.00,40.81,64.60,84.03,108753.12,148844.47,216245.94,264228.88,325719.41
dayton_tn,metro,"Dayton, TN",TN,239370.55,239000.00,0.38,5.23,121488.97,128570.53,135282.75,151397.96,163386.77,188942.53,221303.55,222392.70,235378.94,238919.35,"February 28, 2025",1.90,391603.33,130519.12,,359500.00,,February 25,,110.00,dayton,"March 2, 2025",1.80,50400.00,83.62,94.30,97.94,8.39,2700000.00,34.07,55.66,75.61,242679.90,190540.79,277223.02,358811.88,471092.22
silver_city_nm,metro,"Silver City, NM",NM,183684.55,184000.00,-0.72,-1.78,123709.14,128315.94,133880.25,138428.15,143426.39,165949.76,186641.33,191634.87,190688.92,184350.86,"February 28, 2025",-1.30,319536.09,100403.62,,304167.00,,February 25,,123.00,silver city,"March 2, 2025",1.70,9500.00,86.08,95.87,98.94,6.43,722700.00,41.46,65.75,84.75,134790.55,153327.97,224220.30,298119.69,361099.72
big_spring_tx,metro,"Big Spring, TX",TX,137563.60,138000.00,-1.22,-12.46,144033.29,129910.92,137865.79,157415.33,171253.91,171469.60,168729.94,154330.92,157312.89,138414.27,"February 28, 2025",-8.40,255370.28,65817.72,,199500.00,,February 25,,160.00,big spring,"March 2, 2025",1.90,231800.00,84.41,95.11,98.57,6.37,10000000.00,41.50,66.60,86.27,147400.38,100341.38,184493.66,266897.84,622446.91
wabash_in,metro,"Wabash, IN",IN,176342.66,176000.00,0.76,8.42,95138.46,99303.08,107195.82,113766.80,119841.72,138005.98,151560.72,159100.42,169599.16,175677.58,"February 28, 2025",2.50,304232.75,109817.52,,164333.00,,February 25,,70.00,wabash,"March 2, 2025",1.92,26500.00,83.04,94.78,98.68,7.42,2500000.00,36.61,60.67,81.40,90271.14,124120.20,179231.93,219792.37,251777.53
vernal_ut,metro,"Vernal, UT",UT,328872.78,329000.00,0.75,4.45,203884.54,172084.31,174248.57,194297.31,217474.73,229877.83,278321.39,303460.04,317719.42,327652.38,"February 28, 2025",2.70,471609.27,236211.38,307500.00,371650.00,30.00,February 25,32.00,179.00,vernal,"March 2, 2025",1.32,25300.00,91.77,98.04,99.55,5.17,1200000.00,48.77,74.98,92.05,330691.72,227787.46,301012.89,362597.91,454620.98
kennett_mo,metro,"Kennett, MO",MO,82238.27,82000.00,0.61,8.78,75527.22,78110.90,79418.54,81247.52,79937.04,89427.76,89884.51,83530.32,77549.09,81990.47,"February 28, 2025",-5.10,149657.34,40032.60,,97733.00,,February 25,,102.00,kennett,"March 2, 2025",2.23,27800.00,79.74,94.22,98.57,8.16,2300000.00,34.12,57.21,79.74,121077.42,158644.77,116298.36,383719.06,489157.59
miami_ok,metro,"Miami, OK",OK,128995.74,129000.00,0.36,10.74,68961.27,73258.17,78634.07,80163.21,83617.34,97319.42,111356.43,114907.34,123764.78,128761.42,"February 28, 2025",2.50,255085.19,67980.63,,177933.00,,February 25,,137.00,miami,"March 2, 2025",1.88,25300.00,83.34,94.65,98.31,7.39,1400000.00,37.78,59.86,79.00,56052.99,72629.65,143504.92,238955.97,329424.22
clewiston_fl,metro,"Clewiston, FL",FL,278388.09,278000.00,-0.02,-0.81,106933.70,121017.74,134119.56,147210.12,157169.31,191320.32,244368.58,264861.02,279624.98,278415.84,"February 28, 2025",4.80,399492.34,195966.91,251000.00,243050.00,51.00,February 25,56.83,407.00,clewiston,"March 2, 2025",1.95,283000.00,84.73,95.36,98.69,6.85,9400000.00,39.13,64.03,85.21,166410.81,205615.54,284941.76,331731.56,446957.39
