website,Realtor,Zillow,Redfin,Census,
myrtle_beach_sc,"Myrtle Beach-Conway-North Myrtle Beach, SC","Myrtle Beach, SC",,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",metro
port_st_lucie_fl,"port st. lucie, fl","Port St. Lucie, FL",,"Port St. Lucie, FL",metro
huntsville_al,"huntsville, al","Huntsville, AL",,"Huntsville, AL",metro
shreveport_la,"shreveport-bossier city, la","Shreveport, LA",,"Shreveport-Bossier City, LA",metro
reno_nv,"reno, nv","Reno, NV",,"Reno, NV",metro
modesto_ca,"modesto, ca","Modesto, CA",,"Modesto, CA",metro
york_pa,"york-hanover, pa","York, PA",,"York-Hanover, PA",metro
corpus_christi_tx,"corpus christi, tx","Corpus Christi, TX",,"Corpus Christi, TX",metro
fort_wayne_in,"fort wayne, in","Fort Wayne, IN",,"Fort Wayne, IN",metro
canton_oh,"canton-massillon, oh","Canton, OH",,"Canton-Massillon, OH",metro
flint_mi,"flint, mi","Flint, MI",,"Flint, MI",metro
provo_ut,"Provo-Orem-Lehi, UT","Provo, UT",,"Provo-Orem, UT",metro
mobile_al,"mobile, al","Mobile, AL",,"Mobile, AL",metro
manchester_nh,"manchester-nashua, nh","Manchester, NH",,"Manchester-Nashua, NH",metro
davenport_ia,"davenport-moline-rock island, ia-il","Davenport, IA",,"Davenport-Moline-Rock Island, IA-IL",metro
salisbury_md,"Salisbury, MD","Salisbury, MD",,"Salisbury, MD-DE",metro
killeen_tx,"killeen-temple, tx","Killeen, TX",,"Killeen-Temple, TX",metro
reading_pa,"reading, pa","Reading, PA",,"Reading, PA",metro
beaumont_tx,"beaumont-port arthur, tx","Beaumont, TX",,"Beaumont-Port Arthur, TX",metro
peoria_il,"peoria, il","Peoria, IL",,"Peoria, IL",metro
vallejo_ca,"Vallejo, CA","Vallejo, CA",,"Vallejo, CA",metro
eugene_or,"Eugene-Springfield, OR","Eugene, OR",,"Eugene-Springfield, OR",metro
gulfport_ms,"Gulfport-Biloxi, MS","Gulfport, MS",,"Gulfport-Biloxi, MS",metro
fayetteville_nc,"fayetteville, nc","Fayetteville, NC",,"Fayetteville, NC",metro
tallahassee_fl,"tallahassee, fl","Tallahassee, FL",,"Tallahassee, FL",metro
santa_maria_ca,"santa maria-santa barbara, ca","Santa Maria, CA",,"Santa Maria-Santa Barbara, CA",metro
naples_fl,"Naples-Marco Island, FL","Naples, FL",,"Naples-Marco Island, FL",metro
huntington_wv,"huntington-ashland, wv-ky-oh","Huntington, WV",,"Huntington-Ashland, WV-KY-OH",metro
salem_or,"salem, or","Salem, OR",,"Salem, OR",metro
